beneficiary,county,ida,net_exemptions,jobs_promised,jobs_current,net_employment_change,date_approved
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,946238.21,0,0,0,03/22/2023
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,928906.0,0,0,166,03/22/2017
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,926079.03,0,0,223,10/23/2019
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,778992.0,0,0,29,03/22/2017
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,737880.1,0,0,94,10/23/2019
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,737708.88,0,0,33,10/23/2019
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,621333.86,0,0,0,03/22/2023
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,533594.64,0,0,186,10/23/2019
Corning Properties inc.,STEUBEN,Steuben County Industrial Development Agency,332655.3,0,0,0,12/03/2015
Vulcraft of New York,CHEMUNG,Chemung Industrial Development Agency,314704.0,0,0,264,07/12/2000
Vulcraft of New York,CHEMUNG,Chemung Industrial Development Agency,306923.0,0,0,264,07/12/2000
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,294251.94,0,0,-14,11/16/2017
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,281341.8,0,0,127,11/16/2017
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,275517.14,0,0,55,11/16/2017
Vulcraft of New York,CHEMUNG,Chemung Industrial Development Agency,274404.52,0,0,296,07/12/2000
Vulcraft of New York,CHEMUNG,Chemung Industrial Development Agency,259056.0,0,0,239,07/12/2000
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,254317.0,0,0,147,11/16/2017
Corning Properties inc.,STEUBEN,Steuben County Industrial Development Agency,227144.0,0,0,0,12/03/2015
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,226430.0,0,0,0,04/18/2017
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,226430.0,0,0,0,04/18/2017
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,222744.0,0,0,-30,11/16/2017
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,217200.0,0,0,0,04/30/2019
Vulcraft of New York,CHEMUNG,Chemung Industrial Development Agency,215639.0,0,0,244,07/12/2000
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,192379.0,0,0,256,03/22/2017
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,183866.0,0,0,-37,11/16/2017
Win Sum Ski Corp,CATTARAUGUS,Cattaraugus Industrial Development Agency,160661.88,0,0,0,05/14/2024
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,159215.72,0,0,-32,08/15/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,133763.0,0,0,4,03/22/2017
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,123453.04,0,0,58,10/23/2019
Seneca Beverage Corp.,CHEMUNG,Chemung Industrial Development Agency,113779.0,0,0,-3,08/20/2009
Seneca Beverage Corp.,CHEMUNG,Chemung Industrial Development Agency,112519.0,0,0,1,08/20/2009
Seneca Beverage Corp.,CHEMUNG,Chemung Industrial Development Agency,111222.0,0,0,3,08/20/2009
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,107000.0,0,0,0,05/05/2020
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,106046.29,0,0,263,08/15/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,79228.4,0,0,578,08/15/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,76945.57,0,0,725,08/15/2011
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,76639.0,0,0,43,08/18/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,68944.45,0,0,458,08/15/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,68790.15,0,0,371,03/22/2017
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,65777.65,0,0,351,03/22/2017
Rosina Food Products Company,ERIE,Erie County Industrial Development Agency,64614.21,0,0,50,10/26/2016
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,63178.63,0,0,460,08/15/2011
5000 Group LLC,ERIE,Amherst Industrial Development Agency,55551.0,0,0,49,01/20/2012
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,54776.43,0,0,342,03/22/2017
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,52078.13,0,0,291,03/22/2017
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,51765.55,0,0,256,03/22/2017
5000 Group LLC,ERIE,Amherst Industrial Development Agency,46749.0,0,0,49,01/20/2012
5000 Group LLC,ERIE,Amherst Industrial Development Agency,40428.0,0,0,50,01/20/2012
Seneca Beverage Corp.,CHEMUNG,Chemung Industrial Development Agency,35052.0,0,0,-2,08/20/2009
5000 Group LLC,ERIE,Amherst Industrial Development Agency,33587.0,0,0,25,01/20/2012
5000 Group LLC,ERIE,Amherst Industrial Development Agency,27126.0,0,0,38,01/20/2012
"Graphic Controls, LLC",ERIE,Erie County Industrial Development Agency,25649.83,0,0,-30,06/14/2000
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,22237.0,0,0,37,08/18/2011
Win Sum Ski Corp,CATTARAUGUS,Cattaraugus Industrial Development Agency,21760.0,0,0,0,02/13/2024
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,21349.0,0,0,42,08/18/2011
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,21231.0,0,0,38,08/18/2011
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,21136.0,0,0,45,08/18/2011
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,21000.0,0,0,8,01/30/2015
Arnot Realty Corporation,CHEMUNG,Chemung Industrial Development Agency,20430.0,0,0,164,08/14/2000
Arnot Realty Corporation,CHEMUNG,Chemung Industrial Development Agency,19924.0,0,0,146,08/14/2000
Arnot Realty Corporation,CHEMUNG,Chemung Industrial Development Agency,19448.0,0,0,81,08/14/2000
Arnot Realty Corporation,CHEMUNG,Chemung Industrial Development Agency,19342.0,0,0,157,08/14/2000
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,19331.35,0,0,46,08/18/2011
5000 Group LLC,ERIE,Amherst Industrial Development Agency,18667.0,0,0,39,01/20/2012
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,16822.49,0,0,46,08/18/2011
Chemung Supply Corp.,CHEMUNG,Chemung Industrial Development Agency,15560.23,0,0,37,08/18/2011
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,15546.32,0,0,705,08/15/2011
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,14213.19,0,0,-22,12/19/2013
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,13606.0,0,0,-35,12/19/2013
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,11981.0,0,0,20,12/19/2013
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,11260.0,0,0,4,12/19/2013
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,11162.98,0,0,-65,12/19/2013
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,11141.0,0,0,49,12/19/2013
5000 Group LLC,ERIE,Amherst Industrial Development Agency,10833.0,0,0,39,01/20/2012
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,10473.01,0,0,-26,12/19/2013
Silicon Carbide Products,CHEMUNG,Chemung Industrial Development Agency,8033.0,0,0,16,11/12/2004
Silicon Carbide Products,CHEMUNG,Chemung Industrial Development Agency,7990.0,0,0,11,11/12/2004
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,7862.95,0,0,17,01/30/2015
Silicon Carbide Products,CHEMUNG,Chemung Industrial Development Agency,7849.0,0,0,8,11/12/2004
"R.S. Maher & Son, Inc.",ALLEGANY,Allegany Industrial Development Agency,7548.83,0,0,-3,02/11/2016
"R.S. Maher & Son, Inc.",ALLEGANY,Allegany Industrial Development Agency,7545.19,0,0,4,02/11/2016
"R.S. Maher & Son, Inc.",ALLEGANY,Allegany Industrial Development Agency,7451.48,0,0,6,02/11/2016
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,7396.47,0,0,29,01/30/2015
"R.S. Maher & Son, Inc.",ALLEGANY,Allegany Industrial Development Agency,7334.29,0,0,6,02/11/2016
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,7163.0,0,0,16,01/30/2015
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,7138.0,0,0,21,01/30/2015
Corning Properties inc.,STEUBEN,Steuben County Industrial Development Agency,7133.92,0,0,0,12/03/2015
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,7071.0,0,0,26,01/30/2015
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,6927.0,0,0,19,01/30/2015
"Moog, Inc.",ERIE,Erie County Industrial Development Agency,4442.73,0,0,580,09/10/1997
"Rosina Food Products, Inc.",ERIE,Erie County Industrial Development Agency,3164.14,0,0,0,10/23/2019
Silicon Carbide Products,CHEMUNG,Chemung Industrial Development Agency,3010.0,0,0,9,11/12/2004
"Chef's Restaurant of Buffalo, Inc.",ERIE,Erie County Industrial Development Agency,2906.2,0,0,4,04/12/2010
Postler & Jaeckle,CHEMUNG,Chemung Industrial Development Agency,2179.99,0,0,404,01/30/2015
"Chef's Restaurant of Buffalo, Inc.",ERIE,Erie County Industrial Development Agency,624.24,0,0,30,04/12/2010
"R.S. Maher & Son, Inc.",ALLEGANY,Allegany Industrial Development Agency,0.0,0,0,4,02/11/2016
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,0,06/07/2016
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,0,06/07/2016
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,0,04/18/2017
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,8,06/07/2016
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,0,06/07/2016
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,-1,04/18/2017
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,1,04/30/2019
Win Sum Ski Corp.,CATTARAUGUS,Cattaraugus Industrial Development Agency,0.0,0,0,15,05/05/2020
Arnot Realty Corporation,CHEMUNG,Chemung Industrial Development Agency,0.0,0,0,0,08/14/2000
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,0.0,0,0,0,11/16/2017
"Cameron Manufacturing & Design, Inc.",CHEMUNG,Chemung Industrial Development Agency,-18377.31,0,0,-28,12/19/2013
Corning Property Management Corp.,STEUBEN,Steuben County Industrial Development Agency,-294108.0,0,0,503,11/16/2017
